AboveState,WhitePopulation,Non_ENL,Paid_Lunch,Corp Type
1,0.6939305420318078,0.8909444985394352,0.5027588445309964,0
0,0.8269938650306748,0.9141104294478528,0.41595092024539876,0
0,0.9311663479923518,0.9598470363288719,0.4722753346080306,0
0,0.9332220367278798,0.9816360601001669,0.5191986644407346,0
1,0.9543650793650794,0.6656746031746031,0.6339285714285714,0
0,0.7098283931357254,0.8393135725429017,0.41497659906396256,0
0,0.4117647058823529,1.0,0.17647058823529413,2
1,0.6981424148606811,0.9806501547987616,0.7856037151702786,0
0,0.33187134502923976,0.9122807017543859,0.26169590643274854,0
0,0.08529650690495533,0.962225832656377,0.3586515028432169,0
1,0.6158415841584158,0.9547029702970297,0.7400990099009901,0
1,0.8357689631176062,0.9853862212943633,0.7056367432150313,0
0,0.292436974789916,0.946218487394958,0.09411764705882353,0
1,0.7322309970384995,0.9617472852912142,0.7773938795656465,0
0,0.0121765601217656,0.786910197869102,0.2557077625570776,0
0,0.32505643340857787,0.9051918735891648,0.2325056433408578,0
0,0.01220865704772475,0.9889012208657048,0.3423973362930078,0
0,0.4461538461538462,0.9680473372781065,0.4544378698224852,0
0,0.09397433108549054,0.8427235153360888,0.39047204698716553,0
1,0.4888111888111888,0.9636363636363636,0.5496503496503496,0
1,0.6031302403577418,0.9742873113471213,0.46674119619899385,0
1,0.5035733919736118,0.9730621220450797,0.7817482133040132,0
0,0.16299559471365638,0.8414096916299559,0.3436123348017621,0
1,0.8460329929300864,0.9787902592301649,0.5868028279654359,0
0,0.8778801843317973,0.9838709677419355,0.5898617511520737,0
0,0.9457364341085271,1.0,0.5271317829457365,0
0,0.41608554160855415,0.9669920966992097,0.2859135285913529,0
1,0.8986175115207373,0.9930875576036866,0.6751152073732719,0
1,0.7268445839874411,0.9124803767660911,0.3771585557299843,0
0,0.9010309278350516,0.9965635738831615,0.41855670103092785,0
0,0.9391575663026521,0.9875195007800313,0.7254290171606864,0
0,0.9217325227963525,0.9848024316109423,0.9848024316109423,0
1,0.8425925925925926,0.9717348927875243,0.6408382066276803,0
0,0.8817567567567568,0.981418918918919,0.4341216216216216,0
0,0.45550927678909503,0.9083680424081787,0.21847784929950775,0
0,0.8299531981279251,0.9656786271450858,0.3213728549141966,0
0,0.4685052774940415,0.8420156622403814,0.20088525706503235,0
1,0.5337351740229438,0.8747812560762201,0.46257048415321794,0
0,0.1544417851611995,0.7657327889624103,0.27087146276221313,0
0,0.3206250841977637,0.6933854236831469,0.29597197898423816,0
0,0.05997392438070404,0.7446762277270752,0.30247718383311606,0
0,0.13680981595092023,0.8265848670756646,0.3112474437627812,0
0,0.26438502673796793,0.7922994652406418,0.43080213903743314,0
0,0.20929216428779493,0.72167200699097,0.2895426740460239,0
0,0.6428571428571429,0.9394957983193277,0.3067226890756303,0
0,0.2174175990323556,0.7276484225380506,0.4072170144138696,0
0,0.6111111111111112,0.9861111111111112,0.4444444444444444,2
1,0.4015957446808511,0.7313829787234043,0.46941489361702127,0
0,0.8328267477203647,0.9969604863221885,0.40425531914893614,0
0,0.8916083916083916,0.9825174825174825,0.6538461538461539,0
1,0.6497764530551415,0.8107302533532041,0.47540983606557374,0
0,0.6245538900785154,0.8344039971448965,0.4354032833690221,0
0,0.9047619047619048,0.9705215419501134,0.5170068027210885,0
0,0.9625468164794008,1.0,0.35580524344569286,0
1,0.9431137724550899,1.0,0.6017964071856288,0
0,0.8184110970996217,0.9634300126103404,0.3619167717528373,0
0,0.9002932551319648,0.9794721407624634,0.45454545454545453,0
1,0.9036827195467422,0.9971671388101983,0.5849858356940509,0
0,0.8555276381909548,0.9748743718592965,0.34045226130653267,0
1,0.8990976210008204,0.9917965545529123,0.6144380639868745,0
1,0.7210960124749387,0.9445310759634663,0.6048117620850969,0
1,0.9127272727272727,0.9696969696969697,0.6084848484848485,0
1,0.9223560910307899,0.998661311914324,0.5943775100401606,0
0,0.6969972702456779,0.8598726114649682,0.3721565059144677,0
0,0.8726207906295754,0.9428989751098097,0.5285505124450952,0
0,0.9487179487179487,0.9914529914529915,0.4444444444444444,0
0,0.9257929383602633,0.9916217833632556,0.5104727707959306,0
1,0.8765300691857371,0.9765832889835019,0.5077168706758914,0
0,0.8172043010752689,0.956989247311828,0.46881720430107526,0
0,0.8047493403693932,0.9287598944591029,0.37467018469656993,0
0,0.9266247379454927,0.9853249475890985,0.6268343815513627,0
0,0.8896411645226812,0.962762356127285,0.6696005416384563,0
